Episode: 0, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 5, Recent Actor Losses: [], Recent Critic Losses: []
Episode: 10, Recent Actor Losses: [tensor(-10.7959, device='cuda:0')], Recent Critic Losses: [tensor(0.1622, device='cuda:0')]
Episode: 15, Recent Actor Losses: [tensor(-14.3099, device='cuda:0')], Recent Critic Losses: [tensor(0.8132, device='cuda:0')]
Episode: 20, Recent Actor Losses: [tensor(-18.3182, device='cuda:0')], Recent Critic Losses: [tensor(0.3507, device='cuda:0')]
Episode: 25, Recent Actor Losses: [tensor(-17.9778, device='cuda:0')], Recent Critic Losses: [tensor(0.4089, device='cuda:0')]
Episode: 30, Recent Actor Losses: [tensor(-20.0949, device='cuda:0')], Recent Critic Losses: [tensor(2.0145, device='cuda:0')]
Episode: 35, Recent Actor Losses: [tensor(-22.1576, device='cuda:0')], Recent Critic Losses: [tensor(1.0502, device='cuda:0')]
Episode: 40, Recent Actor Losses: [tensor(-23.6308, device='cuda:0')], Recent Critic Losses: [tensor(0.6896, device='cuda:0')]
Episode: 45, Recent Actor Losses: [tensor(-24.7239, device='cuda:0')], Recent Critic Losses: [tensor(0.7295, device='cuda:0')]
Episode: 50, Recent Actor Losses: [tensor(-25.5383, device='cuda:0')], Recent Critic Losses: [tensor(0.5716, device='cuda:0')]
Episode: 55, Recent Actor Losses: [tensor(-25.7430, device='cuda:0')], Recent Critic Losses: [tensor(0.8983, device='cuda:0')]
Episode: 60, Recent Actor Losses: [tensor(-26.3394, device='cuda:0')], Recent Critic Losses: [tensor(1.0670, device='cuda:0')]
Episode: 65, Recent Actor Losses: [tensor(-28.7636, device='cuda:0')], Recent Critic Losses: [tensor(1.1357, device='cuda:0')]
Episode: 70, Recent Actor Losses: [tensor(-28.3309, device='cuda:0')], Recent Critic Losses: [tensor(0.6414, device='cuda:0')]
Episode: 75, Recent Actor Losses: [tensor(-28.7847, device='cuda:0')], Recent Critic Losses: [tensor(1.1091, device='cuda:0')]
Episode: 80, Recent Actor Losses: [tensor(-28.2392, device='cuda:0')], Recent Critic Losses: [tensor(0.4519, device='cuda:0')]
Episode: 85, Recent Actor Losses: [tensor(-29.6687, device='cuda:0')], Recent Critic Losses: [tensor(0.9588, device='cuda:0')]
Episode: 90, Recent Actor Losses: [tensor(-29.7309, device='cuda:0')], Recent Critic Losses: [tensor(0.5861, device='cuda:0')]
Episode: 95, Recent Actor Losses: [tensor(-28.7272, device='cuda:0')], Recent Critic Losses: [tensor(0.6634, device='cuda:0')]
Episode: 100, Recent Actor Losses: [tensor(-29.9698, device='cuda:0')], Recent Critic Losses: [tensor(0.8603, device='cuda:0')]
Episode: 105, Recent Actor Losses: [tensor(-31.7042, device='cuda:0')], Recent Critic Losses: [tensor(0.5608, device='cuda:0')]
Episode: 110, Recent Actor Losses: [tensor(-28.3318, device='cuda:0')], Recent Critic Losses: [tensor(0.4196, device='cuda:0')]
Episode: 115, Recent Actor Losses: [tensor(-30.8338, device='cuda:0')], Recent Critic Losses: [tensor(0.3151, device='cuda:0')]
Episode: 120, Recent Actor Losses: [tensor(-29.5967, device='cuda:0')], Recent Critic Losses: [tensor(0.3239, device='cuda:0')]
Episode: 125, Recent Actor Losses: [tensor(-29.5699, device='cuda:0')], Recent Critic Losses: [tensor(0.5661, device='cuda:0')]
Episode: 130, Recent Actor Losses: [tensor(-30.0931, device='cuda:0')], Recent Critic Losses: [tensor(1.1331, device='cuda:0')]
Episode: 135, Recent Actor Losses: [tensor(-29.4375, device='cuda:0')], Recent Critic Losses: [tensor(0.5611, device='cuda:0')]
Episode: 140, Recent Actor Losses: [tensor(-30.2412, device='cuda:0')], Recent Critic Losses: [tensor(0.4060, device='cuda:0')]
Episode: 145, Recent Actor Losses: [tensor(-30.2482, device='cuda:0')], Recent Critic Losses: [tensor(0.5561, device='cuda:0')]
Episode: 150, Recent Actor Losses: [tensor(-29.7372, device='cuda:0')], Recent Critic Losses: [tensor(0.3466, device='cuda:0')]
Episode: 155, Recent Actor Losses: [tensor(-30.6827, device='cuda:0')], Recent Critic Losses: [tensor(0.9192, device='cuda:0')]
Episode: 160, Recent Actor Losses: [tensor(-31.5941, device='cuda:0')], Recent Critic Losses: [tensor(0.2441, device='cuda:0')]
Episode: 165, Recent Actor Losses: [tensor(-31.7121, device='cuda:0')], Recent Critic Losses: [tensor(0.4732, device='cuda:0')]
Episode: 170, Recent Actor Losses: [tensor(-29.4771, device='cuda:0')], Recent Critic Losses: [tensor(0.4312, device='cuda:0')]
Episode: 175, Recent Actor Losses: [tensor(-30.2834, device='cuda:0')], Recent Critic Losses: [tensor(1.5531, device='cuda:0')]
